Population,Year,Literate,Gender,Race,Age-Group,State
710.0,2022,Yes,Male,Asian,55-64,GO
655.0,2022,Yes,Male,Asian,55-64,DF
38171.0,2022,Yes,Male,Latino,15-19,RO
26187.0,2022,Yes,Male,Latino,15-19,AC
126599.0,2022,Yes,Male,Latino,15-19,AM
16209.0,2022,Yes,Male,Latino,15-19,RR
255636.0,2022,Yes,Male,Latino,15-19,PA
22321.0,2022,Yes,Male,Latino,15-19,AP
40181.0,2022,Yes,Male,Latino,15-19,TO
208877.0,2022,Yes,Male,Latino,15-19,MA
84818.0,2022,Yes,Male,Latino,15-19,PI
213529.0,2022,Yes,Male,Latino,15-19,CE
63889.0,2022,Yes,Male,Latino,15-19,RN
83390.0,2022,Yes,Male,Latino,15-19,PB
194580.0,2022,Yes,Male,Latino,15-19,PE
77204.0,2022,Yes,Male,Latino,15-19,AL
52769.0,2022,Yes,Male,Latino,15-19,SE
313326.0,2022,Yes,Male,Latino,15-19,BA
354455.0,2022,Yes,Male,Latino,15-19,MG
70687.0,2022,Yes,Male,Latino,15-19,ES
234257.0,2022,Yes,Male,Latino,15-19,RJ
548712.0,2022,Yes,Male,Latino,15-19,SP
131373.0,2022,Yes,Male,Latino,15-19,PR
58843.0,2022,Yes,Male,Latino,15-19,SC
63257.0,2022,Yes,Male,Latino,15-19,RS
49187.0,2022,Yes,Male,Latino,15-19,MS
79929.0,2022,Yes,Male,Latino,15-19,MT
146652.0,2022,Yes,Male,Latino,15-19,GO
56020.0,2022,Yes,Male,Latino,15-19,DF
37361.0,2022,Yes,Male,Latino,20-24,RO
25054.0,2022,Yes,Male,Latino,20-24,AC
123302.0,2022,Yes,Male,Latino,20-24,AM
16885.0,2022,Yes,Male,Latino,20-24,RR
239455.0,2022,Yes,Male,Latino,20-24,PA
22015.0,2022,Yes,Male,Latino,20-24,AP
37905.0,2022,Yes,Male,Latino,20-24,TO
183521.0,2022,Yes,Male,Latino,20-24,MA
80779.0,2022,Yes,Male,Latino,20-24,PI
222540.0,2022,Yes,Male,Latino,20-24,CE
64225.0,2022,Yes,Male,Latino,20-24,RN
82298.0,2022,Yes,Male,Latino,20-24,PB
194161.0,2022,Yes,Male,Latino,20-24,PE
72622.0,2022,Yes,Male,Latino,20-24,AL
51567.0,2022,Yes,Male,Latino,20-24,SE
295498.0,2022,Yes,Male,Latino,20-24,BA
378629.0,2022,Yes,Male,Latino,20-24,MG
71983.0,2022,Yes,Male,Latino,20-24,ES
247258.0,2022,Yes,Male,Latino,20-24,RJ
610486.0,2022,Yes,Male,Latino,20-24,SP
144825.0,2022,Yes,Male,Latino,20-24,PR
73442.0,2022,Yes,Male,Latino,20-24,SC
69124.0,2022,Yes,Male,Latino,20-24,RS
50242.0,2022,Yes,Male,Latino,20-24,MS
83739.0,2022,Yes,Male,Latino,20-24,MT
155077.0,2022,Yes,Male,Latino,20-24,GO
58471.0,2022,Yes,Male,Latino,20-24,DF
72646.0,2022,Yes,Male,Latino,25-34,RO
41068.0,2022,Yes,Male,Latino,25-34,AC
209300.0,2022,Yes,Male,Latino,25-34,AM
30224.0,2022,Yes,Male,Latino,25-34,RR
426859.0,2022,Yes,Male,Latino,25-34,PA
37508.0,2022,Yes,Male,Latino,25-34,AP
68195.0,2022,Yes,Male,Latino,25-34,TO
310792.0,2022,Yes,Male,Latino,25-34,MA
143362.0,2022,Yes,Male,Latino,25-34,PI
431614.0,2022,Yes,Male,Latino,25-34,CE
121219.0,2022,Yes,Male,Latino,25-34,RN
153221.0,2022,Yes,Male,Latino,25-34,PB
345697.0,2022,Yes,Male,Latino,25-34,PE
124111.0,2022,Yes,Male,Latino,25-34,AL
94495.0,2022,Yes,Male,Latino,25-34,SE
521720.0,2022,Yes,Male,Latino,25-34,BA
